relative_path	size_bytes	allocated_bytes	mtime_utc	sha256
authorization_and_dispatch.csv	858	5120	2026-08-14T02:53:32Z	b0abc2ff4e42381c91d84f76d1299f4c2860aef5988f3d1fc4c580e40d6b723b
CAMPAIGN_COMPLETE	9	1024	2026-08-14T08:40:17Z	37a40f08d8548dba289b9b0bb35bcf63b359f6d37ee86044ebc6b6da080b9ec1
campaign_status.csv	812	5120	2026-08-14T08:40:17Z	c8586b73ff33c190a517f3e59823ec66c9f6bd5718cc081720f2944284120db0
experiment.json	17821	13312	2026-08-14T02:53:31Z	8c4adfd2e5593fd74c109d6cc2d8885fc4e1be2a0efee5ebd4514ae4ed345df4
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/aggressive_mesh_inventory.csv	270	5120	2026-08-14T02:53:47Z	837c084b8e7128bcd2af13572db4dee0880be8a0a2acf7532e688cf4c88ef5f7
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/applanation_boundary_qc.png	79274	82944	2026-08-14T08:40:09Z	7a54b6cda11b777e8845634a761a7c328f72e2df8b9a96ec611ba611b3f7fb43
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/attempt.json	1310	5120	2026-08-14T08:40:09Z	5377c51ad784a3ae04cfb8d27c6907d1931f2702d2f11715e6cc6334564f625b
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/driver.dat	483	5120	2026-08-14T02:53:34Z	258a45fc96f45e60e533e3a095b32aca4a0d8d4a73cc59ca8487558dbdff77f2
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.err	4245	9216	2026-08-14T08:40:04Z	9aa895e9fda89839112fe75a32783997b8bd960547f0a56aa272b85556455829
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.log	246	1024	2026-08-14T08:40:04Z	89e5fca250d7faad894ed9e1d4b352538cbd46964a5e289fe8ea150d0ab89b16
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.stat	285	5120	2026-08-14T08:38:46Z	aa9ec9ab84e1040a3e559554a75c0ba7e1368002c94f73355eedef1890e94bda
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.err	79	1024	2026-08-14T08:40:04Z	ff031bcabddd1aa53946ca5ac562b4682084377a7d9696c12aafdc3911b87332
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.out	41140	13312	2026-08-14T08:40:04Z	2d57df499b3fdb2cf18d916efe8ad1fa5a19e08ec04e03f04d98979973bb4e97
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.stat	285	5120	2026-08-14T08:38:46Z	84db527f949c7f782ae3194843bbc0371d89d10fe9641ca60e64dcb168809248
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.err	303	5120	2026-08-14T02:54:11Z	92b00b78d67afd7eb3670e0a2c7433ce3698ea7e8686aba960470f59ad9567b2
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.out	41551	13312	2026-08-14T08:40:04Z	7f2f62b161f8fe5cae15f6a7bf08ff88323407a5c501dd60fc13d47794f94f23
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.stat	285	5120	2026-08-14T08:38:46Z	c36cc7a3551feaee216fbbae81f1907c6d50cfe032318e9c83dc55d4e97110ab
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.err	79	1024	2026-08-14T08:40:04Z	ff031bcabddd1aa53946ca5ac562b4682084377a7d9696c12aafdc3911b87332
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.out	39602	13312	2026-08-14T08:40:04Z	2f49d90fbbd74edc4f2806ef340641a08ff6d5d4c8ed8fb636fac84c886d3f88
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.stat	285	5120	2026-08-14T08:38:46Z	0ff96fb844bab4cd333edcdb80f627352e0147b3cd878e068033e83ef0e58747
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm.db	497221632	169403392	2026-08-14T08:40:02Z	3ea0583611f384db34dbed1f7d5e3163536d96f00f1516882aa5d85e79178bed
